Ceremonia,Mejor película,Mejor director,Mejor actor,Mejor actriz
16 de mayo de 1929, Alas (Wings) (1927),Drama:  F. BorzageCom.:  L. Milestone, E. Jannings(The Last Command), J. Gaynor(7th Heaven)
3 de abril de 1930, La melodía de Broadway (The Broadway melody) (1929), F. Lloyd(The Divine Lady), W. Baxter(In Old Arizona), M. Pickford(Coquette)
5 de noviembre de 1930, Sin novedad en el frente (All quiet on the western front (1930), L. MilestoneSin novedad en el frente (All quiet on the western front) (1930), G. Arliss(Disraeli), N. Shearer(The Divorcee)
10 de noviembre de 1931, Cimarron (1931), N. Taurog(Skippy), L. Barrymore(A Free Soul), M. Dressler(Min and Bill)
18 de noviembre de 1932, Grand Hotel, F. Borzage(Bad Girl), F. March W. Beery, H. Hayes(The Sin of Madelon Claudet)
16 de marzo de 1934, Cavalcade, F. Lloyd(Cavalcade), C. Laughton(The Private Life of Henry VIII), K. Hepburn(Morning Glory)
27 de febrero de 1935, It Happened One Night, F. Capra(It Happened One Night), C. Gable(It Happened One Night), C. Colbert(It Happened One Night)
5 de marzo de 1936, Mutiny on the Bounty, J. Ford(The Informer), V. McLaglen(The Informer), B. Davis(Dangerous)
4 de marzo de 1937, The Great Ziegfeld, F. Capra(Mr. Deeds Goes to Town), P. Muni(The Story of Louis Pasteur), L. Rainer(The Great Ziegfeld)
10 de marzo de 1938, life of emile !The Life of Emile Zola, L. McCarey(The Awful Truth), S. Tracy(Captains Courageous), L. Rainer(The Good Earth)
23 de febrero de 1939, You Can't Take It With You, F. Capra(You Can't Take It With You), S. Tracy(Boys Town), B. Davis(Jezebel)
29 de febrero de 1940, Gone with the Wind, V. Fleming(Gone with the Wind)," R. Donat(Goodbye, Mr. Chips)", V. Leigh(Gone with the Wind)
27 de febrero de 1941, Rebecca, J. Ford(The Grapes of Wrath), J. Stewart(The Philadelphia Story), G. Rogers(Kitty Foyle)
26 de febrero de 1942, How Green Was My Valley, J. Ford(How Green Was My Valley), G. Cooper(Sergeant York), J. Fontaine(Suspicion)
4 de marzo de 1943, MrS. Miniver, W. Wyler(MrS. Miniver), J. Cagney(Yanqui Dandy), G. Garson(MrS. Miniver)
2 de marzo de 1944, Casablanca, M. Curtiz(Casablanca), P. Lukas(Watch on the Rhine), J. Jones(The Song of Bernadette)
15 de marzo de 1945, Going My Way, L. McCarey(Going My Way), B. Crosby(Going My Way), I. Bergman(Gaslight)
7 de marzo de 1946, The Lost Weekend, B. Wilder(The Lost Weekend), R. Milland(The Lost Weekend), J. Crawford(Mildred Pierce)
13 de marzo de 1947, The Best Years of Our Lives, W. Wyler(The Best Years of Our Lives), F. March(The Best Years of Our Lives), O. de Havilland(To Each His Own)
20 de marzo de 1948, Gentleman's Agreement, E. Kazan(Gentleman's Agreement), R. Colman(A Double Life), L. Young(The Farmer's Daughter)
24 de marzo de 1949, Hamlet, J. Huston(The Treasure of the Sierra Madre), L. Olivier(Hamlet), J. Wyman(Johnny Belinda)
23 de marzo de 1950, All the King's Men, J. Mankiewicz(A Letter to Three Wives), B. Crawford(All the King's Men), O. de Havilland(The Heiress)
29 de marzo de 1951, All About Eve, J. Mankiewicz(All About Eve), J. Ferrer(Cyrano de Bergerac), J. Holliday(Born Yesterday)
20 de marzo de 1952, An American in Paris, G. Stevens(A Place in the Sun), H. Bogart(The African Queen), V. Leigh(A Streetcar Named Desire)
19 de marzo de 1953, The Greatest Show on Earth, J. Ford(The Quiet Man), G. Cooper(High Noon)," S. Booth(Come Back, Little Sheba)"
25 de marzo de 1954, From Here to Eternity, F. Zinnemann(From Here to Eternity), W. Holden(Stalag 17), A. Hepburn(Roman Holiday)
30 de marzo1955, On the Waterfront, E. Kazan(On the Waterfront), M. Brando(On the Waterfront), G. Kelly(The Country Girl)
21 de marzo de 1956, Marty, D. Mann(Marty), E. Borgnine(Marty), A. Magnani(The Rose Tattoo)
27 de marzo1957, Around the World in 80 Days, G. Stevens(Giant), Y. Brynner(The King and I), I. Bergman(Anastasia)
26 de marzo de 1958, The Bridge on the River Kwai, D. Lean(The Bridge on the River Kwai), A. Guinness(The Bridge on the River Kwai), J. Woodward(The Three Faces of Eve)
6 de abril1959, Gigi, V. Minnelli(Gigi), D. Niven(Separate Table), S. Hayward(I Want to Live!)
4 de abril de 1960, Ben-Hur, W. Wyler(Ben-Hur), C. Heston(Ben-Hur), S. Signoret(Room at the Top)
17 de abril de 1961, apartment !The Apartment, B. Wilder(The Apartment), B. Lancaster(Elmer Gantry), E. Taylor(BUtterfield 8)
9 de abril de 1962, West Side Story, R. Wise J. Robbins(West Side Story), M. Schell(Judgment at Nuremberg), S. Loren(La ciociara)
8 de abril1963, Lawrence of Arabia, D. Lean(Lawrence of Arabia), G. Peck(To Kill a Mockingbird (película)), A. Bancroft(The Miracle Worker)
13 de abril de 1964, Tom Jones, T. Richardson(Tom Jones), S. Poitier(Lilies of the field), P. Neal(Hud)
5 de abril de 1965, My Fair Lady, G. Cukor(My Fair Lady), R. Harrison(My Fair Lady), J. Andrews(Mary Poppins)
18 de abril1966, The Sound of Music, R. Wise(The Sound of Music), L. Marvin(Cat Ballou), J. Christie(Darling)
10 de abril1967, A Man for All Seasons, F. Zinnemann(A Man for All Seasons), P. Scofield(A Man for All Seasons), E. Taylor(Who's Afraid of Virginia Woolf?)
10 de abril de 1968, In the Heat of the Night, M. Nichols(The Graduate), R. Steiger(In the Heat of the Night), K. Hepburn(Guess Who's Coming to Dinner)
14 de abril1969, Oliver!, C. Reed(Oliver!), C. Robertson(Charly), K. Hepburn B. Streisand(The Lion in Winter)
7 de abril1970, Midnight Cowboy, J. Schlesinger(Midnight Cowboy), John Wayne(True Grit), M. Smith(The Prime of Miss Jean Brodie)
15 de abril1971, Patton, F. Schaffner(Patton), G. C. Scott(Patton), G. Jackson(Women in Love)
10 de abril1972, The French Connection, W. Friedkin(The French Connection), G. Hackman(The French Connection), J. Fonda(Klute)
27 de marzo1973, The Godfather, B. Fosse(Cabaret), M. Brando(El padrino), L. Minnelli(Cabaret)
2 de abril de 1974, The Sting, G. R. Hill(The Sting), J. Lemmon(Save the Tiger), G. Jackson(A Touch of Class)
8 de abril1975, El padrino II, F. F. Coppola(El padrino II), A. Carney(Harry and Tonto), E. Burstyn(Alice Doesn't Live Here Anymore)
29 de marzo1976, One Flew Over the Cuckoo's Nest, M. Forman(One Flew Over the Cuckoo's Nest), J. Nicholson(One Flew Over the Cuckoo's Nest), L. Fletcher(One Flew Over the Cuckoo's Nest)
28 de marzo1977, Rocky, J. G. Avildsen(Rocky), P. Finch(Network), F. Dunaway(Network)
3 de abril1978, Annie Hall, W. Allen(Annie Hall), R. Dreyfuss(The Goodbye Girl), D. Keaton(Annie Hall)
9 de abril1979,  The Deer Hunter, M. Cimino(The Deer Hunter), J. Voight(Coming Home), J. Fonda(Coming Home)
14 de abril de 1980, Kramer vs. Kramer, R. Benton(Kramer vs. Kramer), D. Hoffman(Kramer vs. Kramer), S. Field(Norma Rae)
31 de marzo1981, Ordinary People, R. Redford(Ordinary People), R. De Niro(Raging Bull), S. Spacek(Coal Miner's Daughter)
29 de marzo de 1982, Chariots of Fire, W. Beatty(Reds), H. Fonda(On Golden Pond), K. Hepburn(On Golden Pond)
11 de abril1983,  Gandhi, R. Attenborough(Gandhi), R. Duvall(Tender Mercies), M. Streep(Sophie's Choice)
9 de abril de 1984, Terms of Endearment, J. L. Brooks(Terms of Endearment), R. Duvall(Tender Mercies), S. MacLaine(Terms of Endearment)
25 de marzo1985, Amadeus, M. Forman(Amadeus), F. M. Abraham(Amadeus), S. Field(Places in the Heart)
24 de marzo1986, Out of Africa, S. Pollack(Out of Africa), W. Hurt(Kiss of the Spider Woman), G. Page(The Trip to Bountiful)
30 de marzo1987, Platoon, O. Stone(Platoon), P. Newman(The Colour of Money), M. Matlin(Children of a Lesser God)
11 de abril de 1988,   The Last Emperor, B. Bertolucci(The Last Emperor), M. Douglas(Wall Street), Cher(Moonstruck)
29 de marzo de 1989, Rain Man, B. Levinson(Rain Man), D. Hoffman(Rain Man), J. Foster(The Accused)
26 de abril de 1990, Driving Miss Daisy, O. Stone(Born on the Fourth of July), D. Day-Lewis(Mi pie izquierdo), J. Tandy(Driving Miss Daisy)
25 de marzo de 1991, Dances with Wolves, K. Costner(Dances with Wolves), J. Irons(Reversal of Fortune), K. Bates(Misery)
30 de marzo de 1992, The Silence of the Lambs, J. Demme(The Silence of the Lambs), A. Hopkins(The Silence of the Lambs), J. Foster(The Silence of the Lambs)
29 de marzo de 1993, Unforgiven, C. Eastwood(Unforgiven), A. Pacino(Scent of a Woman), E. Thompson(Howards End)
21 de marzo de 1994, Schindler's List, S. Spielberg(Schindler's List), T. Hanks(Philadelphia), H. Hunter(The Piano)
27 de marzo de 1995, Forrest Gump, R. Zemeckis(Forrest Gump), T. Hanks(Forrest Gump), J. Lange(Blue Sky)
25 de marzo de 1996,  Braveheart, M. Gibson(Braveheart), N. Cage(Leaving Las Vegas), S. Sarandon(Dead Man Walking)
24 de marzo1997, The English Patient, A. Minghella(The English Patient), G. Rush(Shine), F. McDormand(Fargo)
23 de marzo de 1998,Titanic, J. Cameron(Titanic), J. Nicholson(As Good as It Gets), H. Hunt(As Good as It Gets)
21 de marzo de 1999, Shakespeare in Love, S. Spielberg(Saving Private Ryan), R. Benigni(La vita è bella), G. Paltrow(Shakespeare in Love)
26 de marzo2000, American Beauty, S. Mendes(American Beauty), K. Spacey(American Beauty), H. Swank(Boys don't cry)
25 de marzo2001,  Gladiator, S. Soderbergh(Traffic), R. Crowe(Gladiator), J. Roberts(Erin Brockovich)
24 de marzo de 2002, A Beautiful Mind, R. Howard(A Beautiful Mind), D. Washington(Training Day), H. Berry(Monster's Ball)
23 de marzo de 2003, Chicago, R. Polanski(The Pianist), A. Brody(The Pianist),  N. Kidman(The Hours)
29 de febrero de 2004, The Lord of the Rings: The Return of the King, P. Jackson(The Lord of the Rings: The Return of the King), S. Penn(Mystic River), C. Theron(Monster)
27 de febrero de 2005, Million Dollar Baby, C. Eastwood(Million Dollar Baby), J. Foxx(Ray), H. Swank(Million Dollar Baby)
5 de marzo de 2006, Crash, A. Lee(Brokeback Mountain), P. S. Hoffman(Capote), R. Witherspoon(Walk the Line)
25 de febrero de 2007, The Departed, M. Scorsese(The Departed), F. Whitaker(The Last King of Scotland), H. Mirren(The Queen)
24 de febrero de 2008, No Country for Old Men, J. Coen E. Coen(No Country for Old Men), D. Day-Lewis(There Will Be Blood), M. Cotillard(La Môme)
22 de febrero de 2009,  Slumdog Millionaire, D. Boyle(Slumdog Millionaire), S. Penn(Milk), K. Winslet(The Reader)
7 de marzo de 2010, The Hurt Locker, K. Bigelow(The Hurt Locker), J. Bridges(Crazy Heart), S. Bullock(The Blind Side)
27 de febrero de 2011, The King's Speech, T. Hooper(The King's Speech), C. Firth(The King's Speech),  N. Portman(Black Swan)
26 de febrero de 2012, The Artist, M. Hazanavicius(The Artist), J. Dujardin(The Artist), M. Streep(The Iron Lady)
24 de febrero de 2013, Argo, A. Lee(Life of Pi), D. Day-Lewis(Lincoln), J. Lawrence(Silver Linings Playbook)
2 de marzo de 2014,   12 Years a Slave, A. Cuarón(Gravity), M. McConaughey(Dallas Buyers Club), C. Blanchett(Blue Jasmine)
22 de febrero de 2015, Birdman or (The Unexpected Virtue of Ignorance), A. G. Iñárritu(Birdman or (The Unexpected Virtue of Ignorance)), E. Redmayne(The Theory Of Everything), J.Moore(Still Alice)
28 de febrero de 2016, Spotlight, A. G. Iñárritu(The Revenant), L. DiCaprio(The Revenant), B. Larson(Room)
26 de febrero de 2017, Moonlight, D. Chazelle(La La Land), C. Affleck(Manchester by the Sea), E. Stone(La La Land)
4 de marzo de 2018, The Shape of Water, G. del Toro(The Shape of Water), G. Oldman(Darkest Hour)," F. McDormand(Three Billboards Outside Ebbing, Missouri)"
24 de febrero de 2019, Green Book, A. Cuarón(Roma),  R. Malek(Bohemian Rhapsody), O. Colman(La favorita)
9 de febrero de 2020, Parasite, Bong J.(Parasite),  J. Phoenix(Joker), R. Zellweger(Judy)
25 de abril de 2021, Nomadland, C. Zhao(Nomadland), A. Hopkins(The Father), F. McDormand(Nomadland)
27 de marzo de 2022,  CODA, J. Campion(The Power of the Dog), W. Smith(King Richard), J. Chastain(The Eyes of Tammy Faye)
12 de marzo de 2023, Everything Everywhere All at Once, D. Kwan D. Scheinert(Everything Everywhere All at Once), B. Fraser(The Whale), M. Yeoh(Everything Everywhere All at Once)
10 de marzo de 2024,  Oppenheimer, C. Nolan(Oppenheimer), C. Murphy(Oppenheimer), E. Stone(Poor Things)
